"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4","temperature_C","dissolvedOxygen","irradianceWater","irradianceDeck"
"Paul Lake",1991,140,1991-05-20,0,538,25,NA,NA,NA,16.6,8.7,1600,1250
"Paul Lake",1991,140,1991-05-20,0.85,285,14,NA,NA,NA,NA,NA,NA,NA
"Paul Lake",1991,140,1991-05-20,1.75,399,14,NA,NA,NA,NA,NA,NA,NA
"Paul Lake",1991,140,1991-05-20,3,453,14,NA,NA,NA,10.4,11.3,155,1250
"Paul Lake",1991,140,1991-05-20,4,363,13,NA,NA,NA,7.9,11.7,87,1250
"Paul Lake",1991,140,1991-05-20,6,583,37,NA,NA,NA,5.3,1.1,14,1250
"Peter Lake",1991,140,1991-05-20,0,352,11,NA,NA,NA,16.6,9.1,1800,1450
"Peter Lake",1991,140,1991-05-20,1,356,15,NA,NA,NA,16.2,9.1,885,1450
"Peter Lake",1991,140,1991-05-20,2.25,364,28,NA,NA,NA,NA,NA,NA,NA
"Peter Lake",1991,140,1991-05-20,3.5,582,14,NA,NA,NA,9.4,12,190,1450
"Peter Lake",1991,140,1991-05-20,4.65,335,17,NA,NA,NA,NA,NA,NA,NA
"Peter Lake",1991,140,1991-05-20,6.5,352,19,NA,NA,NA,4.9,6.7,19.5,1450
"East Long Lake",1991,142,1991-05-22,0,375,15,NA,NA,NA,19.9,8,205,190
"East Long Lake",1991,142,1991-05-22,0.4,479,12,NA,NA,NA,NA,NA,NA,NA
"East Long Lake",1991,142,1991-05-22,0.75,419,14,NA,NA,NA,NA,NA,59,190
"East Long Lake",1991,142,1991-05-22,1.2,497,16,NA,NA,NA,NA,NA,NA,NA
"East Long Lake",1991,142,1991-05-22,2,434,12,NA,NA,NA,14.6,9.9,9.2,190
"East Long Lake",1991,142,1991-05-22,3.75,394,12,NA,NA,NA,NA,NA,NA,NA
"West Long Lake",1991,142,1991-05-22,0,471,12,NA,NA,NA,20.2,8.1,220,220
"West Long Lake",1991,142,1991-05-22,0.4,489,21,NA,NA,NA,NA,NA,NA,NA
"West Long Lake",1991,142,1991-05-22,0.75,466,14,NA,NA,NA,NA,NA,66,220
"West Long Lake",1991,142,1991-05-22,1.5,420,12,NA,NA,NA,18.3,8.5,23,220
"West Long Lake",1991,142,1991-05-22,2.25,404,13,NA,NA,NA,NA,NA,NA,NA
"West Long Lake",1991,142,1991-05-22,4,479,16,NA,NA,NA,8,8.8,1.9,220
"Paul Lake",1991,147,1991-05-27,0,483,8,18.981,10.299,8,19.4,7.4,510,445
"Paul Lake",1991,147,1991-05-27,0.65,351,8,13.777,9.198,7,NA,NA,NA,NA
"Paul Lake",1991,147,1991-05-27,1.5,337,9,NA,5.948,12,19,7.2,110,445
"Paul Lake",1991,147,1991-05-27,2.75,327,9,11.328,7.545,8,NA,NA,NA,NA
"Paul Lake",1991,147,1991-05-27,4,346,13,9.98,4.864,NA,8.7,11.4,25,460
"Paul Lake",1991,147,1991-05-27,6,687,32,13.807,9.952,NA,5.7,0.6,4.8,455
"Paul Lake",1991,147,1991-05-27,8,900,45,327.864,13.48,NA,4.9,0.2,NA,NA
"Peter Lake",1991,148,1991-05-28,0,342,23,18.096,6.276,NA,20.6,8,1350,1100
"Peter Lake",1991,148,1991-05-28,0.85,326,13,59.883,5.475,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,1.75,573,17,23.475,9.473,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,3.25,386,11,10.259,7.126,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,4.25,400,12,14.728,7.125,NA,NA,NA,NA,NA
"Peter Lake",1991,148,1991-05-28,6.5,415,16,10.524,7.503,NA,5.1,5.9,12,1100
"Peter Lake",1991,148,1991-05-28,12,660,25,176.581,9.924,NA,4.3,0,NA,NA
"East Long Lake",1991,149,1991-05-29,0,684,15,13.427,5.481,NA,21.1,7.3,750,760
"East Long Lake",1991,149,1991-05-29,0.5,557,11,12.877,6.326,NA,21,7.3,240,500
"East Long Lake",1991,149,1991-05-29,1,538,11,11.121,5.529,NA,20.9,7.4,210,950
