"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","dissolvedOxygen"
"Paul Lake",1991,140,1991-05-20,0,538,25,8.7
"Paul Lake",1991,140,1991-05-20,3,453,14,11.3
"Paul Lake",1991,140,1991-05-20,4,363,13,11.7
"Paul Lake",1991,140,1991-05-20,6,583,37,1.1
"Peter Lake",1991,140,1991-05-20,0,352,11,9.1
"Peter Lake",1991,140,1991-05-20,1,356,15,9.1
"Peter Lake",1991,140,1991-05-20,3.5,582,14,12
"Peter Lake",1991,140,1991-05-20,6.5,352,19,6.7
"East Long Lake",1991,142,1991-05-22,0,375,15,8
"East Long Lake",1991,142,1991-05-22,2,434,12,9.9
"West Long Lake",1991,142,1991-05-22,0,471,12,8.1
"West Long Lake",1991,142,1991-05-22,1.5,420,12,8.5
"West Long Lake",1991,142,1991-05-22,4,479,16,8.8
"Paul Lake",1991,147,1991-05-27,0,483,8,7.4
"Paul Lake",1991,147,1991-05-27,1.5,337,9,7.2
"Paul Lake",1991,147,1991-05-27,4,346,13,11.4
"Paul Lake",1991,147,1991-05-27,6,687,32,0.6
"Paul Lake",1991,147,1991-05-27,8,900,45,0.2
"Peter Lake",1991,148,1991-05-28,0,342,23,8
"Peter Lake",1991,148,1991-05-28,6.5,415,16,5.9
"Peter Lake",1991,148,1991-05-28,12,660,25,0
"East Long Lake",1991,149,1991-05-29,0,684,15,7.3
"East Long Lake",1991,149,1991-05-29,0.5,557,11,7.3
"East Long Lake",1991,149,1991-05-29,1,538,11,7.4
"East Long Lake",1991,149,1991-05-29,12,943,42,0
"West Long Lake",1991,150,1991-05-30,0,512,10,7.3
"West Long Lake",1991,150,1991-05-30,12,637,26,0
"Tuesday Lake",1991,151,1991-05-31,0.5,501,25,6.9
"Tuesday Lake",1991,151,1991-05-31,12,380,54,0
"Paul Lake",1991,154,1991-06-03,0,512,17,6.6
"Paul Lake",1991,154,1991-06-03,0.5,584,8,6.5
"Paul Lake",1991,154,1991-06-03,8,1107,32,0
"Peter Lake",1991,155,1991-06-04,0,573,5,7.5
"Peter Lake",1991,155,1991-06-04,12,590,19,0
"East Long Lake",1991,156,1991-06-05,0,579,10,6.8
"East Long Lake",1991,156,1991-06-05,1,530,11,6.6
"East Long Lake",1991,156,1991-06-05,2.5,497,9,9.3
"East Long Lake",1991,156,1991-06-05,12,959,42,0
"West Long Lake",1991,157,1991-06-06,0,490,4,7
"West Long Lake",1991,157,1991-06-06,2,402,8,8.4
"West Long Lake",1991,157,1991-06-06,12,574,26,0
"Tuesday Lake",1991,158,1991-06-07,12,761,26,0
"Paul Lake",1991,161,1991-06-10,0,421,11,6.4
"Paul Lake",1991,161,1991-06-10,8,1271,45,0
"Peter Lake",1991,162,1991-06-11,0,296,9,7.5
"Peter Lake",1991,162,1991-06-11,12,676,31,0
"East Long Lake",1991,163,1991-06-12,0,470,16,6.7
"East Long Lake",1991,163,1991-06-12,1,490,17,6.6
"East Long Lake",1991,163,1991-06-12,2.5,437,17,8.1
"West Long Lake",1991,164,1991-06-13,0,497,20,7.1
